address,bank,body,amount
AD-KOTAKB,Kotak Mahindra Bank,"₹9,678.45 added to Kotak Mahindra Bank A/c XX*8993 on 27-Jul-2025 via NEFT. Ref 7NVV28UE1MY6PO0M.",9678.45
VM-INDUSB,IndusInd Bank,"Rs.4,388.42 added to IndusInd Bank A/c **1878 on 07-07-25 via IMPS. Ref 1T8FMW4V1FJ2AOY.",4388.42
JD-IDFCFB-I,IDFC FIRST Bank,Txn alert: INR355.63 DR on Card linked to IDFC FIRST Bank A/c XX*9745 at JioMart on 01-Jul-2025. Ref 8W07FIL3DVYJHM.,355.63
AD-YESBNK-S,YES Bank,"Rs.784.71 received to your YES Bank A/c XX7194 on 23-06-25. Ref 684266432320. Avl bal: Rs. 3,1,171.07.",784.71
VK-KOTAKB,Kotak Mahindra Bank,"Cr alert! ₹206.90 CR to your Kotak Mahindra Bank A/c XX*2841 on 27-Jul-2025 via UPI from VPA tatasky@upi (Ref 692268016092). Bal ₹ 9,4,162.65.",206.9
VM-HDFCBK-S,HDFC Bank,"INR379.00 spent from HDFC Bank A/c **6523 via IMPS on 23-Jun-2025. Ref 313705902154. Avl bal: INR 1,7,804.19.",379
BP-KOTAKUPI-T,Kotak Mahindra Bank,"₹3,426.90 credited to your Kotak Mahindra Bank A/c **1698 on 12/08/2025. Ref 5QAFS4H6SSGFX. Bal ₹ 15,2,640.21.",3426.9
JD-IDFCFB-T,IDFC FIRST Bank,"Rs.1,7,285.38 credited to your IDFC FIRST Bank A/c XX8133 on 20/08/2025. Ref GT9967ST8LI72.",17285.38
AD-HDFCBK,HDFC Bank,"Txn alert: INR3,1,900.32 paid on Card linked to HDFC Bank A/c xxxx1797 at Paytm on 19-06-25. Ref PT11F9I6UU13I. Avail bal INR11,1,565.26.",31900.32
BP-KOTAKUPI,Kotak Mahindra Bank,"INR1,345.87 spent from Kotak Mahindra Bank A/c **2521 via NEFT on 20/06/2025. Ref 564629027976.",1345.87
MD-PNBSMS,Punjab National Bank,"Rs.1,3,277.46 CR to your Punjab National Bank A/c xxxx5554 on 04-Aug-2025. Ref WNZMO7GDE74V6AOU.",13277.46
VM-ICICIB-I,ICICI Bank,"Dear Customer, ₹91.85 received to your ICICI Bank A/c XX*3924 on 24/06/2025. Ref 394521853077. Bal ₹ 4,8,790.28.",91.85
VM-HDFCBK,HDFC Bank,"HDFC Alert: Rs.4,1,324.96 added to your HDFC Bank A/c **1430 on 10/07/2025. Ref 869972833362.",41324.96
AD-HDFCBK-S,HDFC Bank,Credited alert! Rs.458.12 credited to your HDFC Bank A/c xxxx8022 on 09/08/2025 via UPI from VPA paytm@okhdfcbank (Ref BNHL1N13JCA).,458.12
VM-HDFCBK-S,HDFC Bank,"Dear Customer, ₹1,0,139.30 paid from HDFC Bank A/c XX7010 via CHEQUE on 01-Jul-2025. Ref T9D31K9QM3P91.",10139.3
AD-SBIUPI-T,State Bank of India,"INR2,0,083.69 received to your State Bank of India A/c xxxx3459 on 02/06/2025. Ref 1BL08KG68A1.",20083.69
BP-KOTAKUPI,Kotak Mahindra Bank,"₹1,4,200.78 debited from Kotak Mahindra Bank A/c **7082 via IMPS on 18-Jun-2025. Ref 893481310436. Avail bal ₹8,3,552.44.",14200.78
AD-IDFCFB-I,IDFC FIRST Bank,₹167.33 DR from IDFC FIRST Bank A/c **9733 via IMPS on 04-Aug-2025. Ref G8O8G8HZMVYD4.,167.33
BZ-HDFCBK,HDFC Bank,"INR4,0,292.15 credited to HDFC Bank A/c **8912 on 28-07-25 via IMPS. Ref 892155890847.",40292.15
AD-SBIUPI,State Bank of India,"INR339.93 CR to State Bank of India A/c XX1906 on 17-07-25 via IMPS. Ref 550778672549. Avl bal: INR 11,4,409.19.",339.93
VM-ICICIB-S,ICICI Bank,"Tx Alert: Credited alert! ₹9,228.21 credited to your ICICI Bank A/c XX*4415 on 12-Jul-2025 via UPI from VPA myntra@kotak (Ref 443430798636).",9228.21
JD-IDFCFB-S,IDFC FIRST Bank,"INR3,3,098.24 DR from IDFC FIRST Bank A/c xxxx9432 via NETBANK on 29-06-25. Ref 23C60CJBMUV. Bal INR 17,6,388.91.",33098.24
VK-SBIINB-T,State Bank of India,"Dear Customer, INR355.37 debited from State Bank of India A/c XX1445 via NETBANK on 19/06/2025. Ref 448316454170.",355.37
AD-HDFCBK-I,HDFC Bank,"₹3,1,825.71 received to your HDFC Bank A/c XX*4697 on 15/08/2025. Ref 428318986734.",31825.71
MD-PNBSMS-T,Punjab National Bank,"Txn alert: Rs.86.42 spent on Card linked to Punjab National Bank A/c **5338 at DMart on 24/07/2025. Ref 503446636809. Avl bal: Rs. 7,8,202.32.",86.42
BZ-BOBMSG-S,Bank of Baroda,Txn alert: ₹92.34 paid on Card linked to Bank of Baroda A/c **2721 at Uber on 06/08/2025. Ref 155153033214.,92.34
MD-PNBSMS-I,Punjab National Bank,"Rs.164.43 paid from Punjab National Bank A/c xxxx1096 via UPI to Uber (uber@sbi) on 07-Jun-2025. Ref 0SUTBH7W5GLO1. Avail bal Rs.15,6,283.79.",164.43
AD-BOBMSG-S,Bank of Baroda,Rs.273.38 added to your Bank of Baroda A/c XX9923 on 05/08/2025. Ref HSMCRCUN91WG3HJ.,273.38
AD-SBIUPI-I,State Bank of India,"Txn alert: ₹2,468.10 debited on Card linked to State Bank of India A/c xxxx5921 at Flipkart on 04-08-25. Ref 64SKBCBDPDXUJJC.",2468.1
MD-PNBSMS-S,Punjab National Bank,"₹1,474.30 CR to your Punjab National Bank A/c XX9919 on 23-Aug-2025. Ref 736870316767.",1474.3
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: INR3,735.35 CR to Bank of Baroda A/c xxxx5728 on 19/07/2025 via IMPS. Ref 73P4M7B0VZGUGNQV.",3735.35
AX-AXISBK-T,Axis Bank,"INR4,4,760.93 CR to your Axis Bank A/c XX4251 on 21-Jul-2025. Ref 246201787599.",44760.93
VM-HDFCBK-T,HDFC Bank,"INR1,397.61 DR from HDFC Bank A/c XX*9444 via NEFT on 24-Jun-2025. Ref RBXK5BXJ2POP8M.",1397.61
MD-PNBSMS-T,Punjab National Bank,"Tx Alert: Cr alert! Rs.2,3,533.25 CR to your Punjab National Bank A/c **1966 on 06/07/2025 via UPI from VPA flipkart@okhdfcbank (Ref 1RTAOGZE5XFFFGFA). Bal Rs. 12,1,396.14.",23533.25
BP-KOTAKUPI-S,Kotak Mahindra Bank,"₹4,4,376.76 paid from Kotak Mahindra Bank A/c XX*8947 via IMPS on 24/08/2025. Ref VTKH861PQIPG8.",44376.76
AD-INDUSB-S,IndusInd Bank,Tx Alert: ₹254.95 paid from IndusInd Bank A/c xxxx3874 via IMPS on 10/06/2025. Ref 933680712305.,254.95
AD-KOTAKB,Kotak Mahindra Bank,"Rs.2,094.86 credited to Kotak Mahindra Bank A/c XX5128 on 27/08/2025 via IMPS. Ref P1EOXLZKI2SO1.",2094.86
VK-INDUSUPI-I,IndusInd Bank,"Rs.4,8,938.97 received to IndusInd Bank A/c XX2794 on 11/06/2025 via NEFT. Ref 244170257214. Avail bal Rs.14,7,526.92.",48938.97
VK-ICICIB-T,ICICI Bank,"INR5,323.73 DR from ICICI Bank A/c **4365 via UPI to BPCL (bpcl@oksbi) on 25-Jul-2025. Ref 267961495990.",5323.73
BP-KOTAKUPI-T,Kotak Mahindra Bank,INR139.67 CR to Kotak Mahindra Bank A/c XX*2001 on 21-08-25 via NEFT. Ref 482538872896.,139.67
VK-BOBUPI,Bank of Baroda,"Dear Customer, ₹480.46 received to your Bank of Baroda A/c **1553 on 09-Jul-2025. Ref CKASUL64QBWPLY. Avail bal ₹2,765.63.",480.46
VK-PNBUPI-I,Punjab National Bank,"Dear Customer, Rs.319.98 CR to your Punjab National Bank A/c XX*4796 on 09-Jun-2025. Ref 199858197267.",319.98
BP-KOTAKUPI-T,Kotak Mahindra Bank,"₹248.69 received to your Kotak Mahindra Bank A/c **3851 on 18-Jun-2025. Ref 514247489592. Bal ₹ 9,8,475.05.",248.69
VK-ICICIB-T,ICICI Bank,"Rs.6,326.70 received to your ICICI Bank A/c xxxx7990 on 06/07/2025. Ref 305764599825.",6326.7
AD-AXISBK-T,Axis Bank,AXIS Alert: Txn alert: ₹183.80 paid on Card linked to Axis Bank A/c XX*7159 at BPCL on 28-Aug-2025. Ref 587592911380.,183.8
AD-YESBNK-T,YES Bank,"₹3,8,903.62 added to your YES Bank A/c xxxx6926 on 05-Aug-2025. Ref CP52AY7OV50EW.",38903.62
TM-SBIINB-I,State Bank of India,"Rs.2,6,668.98 DR from State Bank of India A/c xxxx2311 via CHEQUE on 07-Jun-2025. Ref 992QC6DR08CW2L. Bal Rs. 18,1,257.99.",26668.98
AD-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: Rs.221.19 added to Kotak Mahindra Bank A/c XX7234 on 14-08-25 via NEFT. Ref 654802816141. Bal Rs. 9,8,077.13.",221.19
VK-AXISUPI-I,Axis Bank,"₹4,704.47 DR from Axis Bank A/c xxxx2979 via NEFT on 23/06/2025. Ref 453718801951. Avail bal ₹4,2,947.20.",4704.47
BZ-BOBMSG,Bank of Baroda,"INR1,0,356.13 received to your Bank of Baroda A/c **9162 on 16-Aug-2025. Ref 280032129112. Avail bal INR7,9,003.81.",10356.13
VK-PNBUPI-S,Punjab National Bank,"₹3,1,548.98 received to Punjab National Bank A/c XX*1877 on 07-06-25 via NEFT. Ref 284459222657.",31548.98
VM-INDUSB-T,IndusInd Bank,"Dear Customer, INR3,453.07 CR to your IndusInd Bank A/c XX*1946 on 03/08/2025. Ref 610593597210. Avl bal: INR 1,5,856.40.",3453.07
AD-HDFCBK,HDFC Bank,Rs.278.94 added to your HDFC Bank A/c XX*4878 on 18-Jul-2025. Ref 729444729179.,278.94
AX-AXISBK-S,Axis Bank,"₹223.51 credited to your Axis Bank A/c xxxx7556 on 27-Aug-2025. Ref 282205801277. Avl bal: ₹ 17,5,301.15.",223.51
VK-SBIINB-T,State Bank of India,"Txn alert: Rs.4,919.87 DR on Card linked to State Bank of India A/c xxxx2979 at JioMart on 28-Jun-2025. Ref 976021683336.",4919.87
VK-PNBUPI-T,Punjab National Bank,"Credited alert! ₹4,684.36 credited to your Punjab National Bank A/c XX3035 on 13/07/2025 via UPI from VPA myntra@ybl (Ref 550343071948).",4684.36
VK-BOBUPI-T,Bank of Baroda,"Rs.2,820.73 CR to your Bank of Baroda A/c XX2035 on 15-08-25. Ref VI5WL0JD0I.",2820.73
AD-BOBMSG-T,Bank of Baroda,"BOB Alert: ₹9,990.38 spent from Bank of Baroda A/c XX7848 via UPI to HP Fuel (hpfuel@axl) on 07-Jul-2025. Ref 530054212508. Avail bal ₹11,4,702.36.",9990.38
VK-BOBUPI-I,Bank of Baroda,"Dear Customer, ₹170.27 received to your Bank of Baroda A/c xxxx2711 on 07-Jul-2025. Ref 1Y04Z4VCVZPVWLL.",170.27
AD-PNBSMS,Punjab National Bank,₹159.16 added to your Punjab National Bank A/c XX9364 on 29/06/2025. Ref KU2K5EBDSTVA.,159.16
VK-BOBUPI-I,Bank of Baroda,"INR190.88 debited from Bank of Baroda A/c XX1924 via NETBANK on 22-07-25. Ref 649613997728. Avail bal INR7,4,653.20.",190.88
AD-YESBNK-I,YES Bank,"₹459.13 received to your YES Bank A/c **5409 on 12-Jun-2025. Ref RG4XV349N1D6. Bal ₹ 10,5,288.15.",459.13
VK-AXISUPI-I,Axis Bank,"Rs.2,4,978.81 CR to your Axis Bank A/c **1216 on 17-Aug-2025. Ref 137119058522.",24978.81
BZ-HDFCBK-I,HDFC Bank,"₹2,2,373.54 purchase from HDFC Bank A/c XX*3492 via CHEQUE on 31/07/2025. Ref SV55PSQ0OXF.",22373.54
MD-PNBSMS-S,Punjab National Bank,"INR224.28 debited from Punjab National Bank A/c xxxx7921 via NEFT on 28-Jun-2025. Ref 412158235200. Avail bal INR11,9,751.00.",224.28
VK-YESUPI-I,YES Bank,YES Alert: INR288.52 received to your YES Bank A/c xxxx7766 on 11-Aug-2025. Ref ILXN32NBZWBHO4.,288.52
BP-YESBNK-S,YES Bank,"Dear Customer, INR100.74 debited from YES Bank A/c xxxx5969 via UPI to Myntra (myntra@kotak) on 28-Jun-2025. Ref 982531551438.",100.74
VK-SBIINB-T,State Bank of India,Tx Alert: Rs.341.68 credited to State Bank of India A/c **3267 on 01-Aug-2025 via IMPS. Ref 813452297647.,341.68
AD-YESBNK-T,YES Bank,"INR2,629.28 received to your YES Bank A/c **2937 on 15/08/2025. Ref 537907453529. Avail bal INR12,2,309.26.",2629.28
VK-SBIINB-I,State Bank of India,"₹4,314.33 DR from State Bank of India A/c **9121 via UPI to BPCL (bpcl@oksbi) on 05-Aug-2025. Ref 634292558842. Avl bal: ₹ 1,2,610.58.",4314.33
VM-ICICIB-S,ICICI Bank,"Txn alert: INR4,105.68 purchase on Card linked to ICICI Bank A/c **8324 at DMart on 23-08-25. Ref 918179988490. Avl bal: INR 11,0,045.21.",4105.68
TM-SBIINB-I,State Bank of India,"Rs.4,110.96 CR to your State Bank of India A/c XX3937 on 26/06/2025. Ref YOSYEOZ906GNH.",4110.96
AD-INDUSB-S,IndusInd Bank,"Tx Alert: Txn alert: ₹3,753.56 purchase on Card linked to IndusInd Bank A/c XX2351 at Google Play Store on 12-Jun-2025. Ref 448258123120.",3753.56
MD-PNBSMS,Punjab National Bank,"INR3,729.95 credited to your Punjab National Bank A/c XX8295 on 29-Jun-2025. Ref 793237769787. Avail bal INR1,3,939.04.",3729.95
AD-IDFCFB-T,IDFC FIRST Bank,"IDFC Alert: Txn alert: INR4,5,481.41 paid on Card linked to IDFC FIRST Bank A/c xxxx5065 at Spencer's on 10-08-25. Ref 859386638930.",45481.41
BP-YESBNK,YES Bank,"INR1,976.69 debited from YES Bank A/c XX7630 via NETBANK on 22-Jul-2025. Ref 2J3T4H8QFDTN.",1976.69
VM-INDUSB-S,IndusInd Bank,"₹50.25 DR from IndusInd Bank A/c **1674 via NEFT on 09-08-25. Ref 996216898312. Avl bal: ₹ 17,0,994.78.",50.25
VK-YESUPI-I,YES Bank,"Tx Alert: INR305.58 DR from YES Bank A/c XX*6019 via NETBANK on 15-Aug-2025. Ref 399808444886. Avail bal INR9,4,634.97.",305.58
MD-PNBSMS-S,Punjab National Bank,"ATM cash purchase: INR2,926.03 from A/c XX*6360 on 06-Jun-2025. Ref NNIIX1SKNXD6ZM.",2926.03
BZ-BOBMSG-I,Bank of Baroda,INR472.77 CR to Bank of Baroda A/c XX*3557 on 07-Aug-2025 via NEFT. Ref QBBWBX54QO.,472.77
VK-AXISUPI-T,Axis Bank,"Dear Customer, ATM cash spent: ₹144.51 from A/c XX2971 on 28-07-25. Ref 311271303593. Avail bal ₹9,5,102.60.",144.51
VM-ICICIB,ICICI Bank,"Cr alert! INR1,348.57 CR to your ICICI Bank A/c xxxx7467 on 20-07-25 via UPI from VPA ola@kotak (Ref 811835500904). Bal INR 4,8,292.58.",1348.57
BP-KOTAKUPI,Kotak Mahindra Bank,"Rs.2,420.75 received to Kotak Mahindra Bank A/c **2933 on 08-06-25 via IMPS. Ref 578215083249. Avl bal: Rs. 14,9,621.40.",2420.75
TM-SBIINB-S,State Bank of India,"Tx Alert: Rs.1,727.02 CR to your State Bank of India A/c **1798 on 25-06-25. Ref 662970683848. Bal Rs. 17,4,552.41.",1727.02
VM-HDFCBK,HDFC Bank,"Txn alert: INR1,8,270.40 debited on Card linked to HDFC Bank A/c XX8048 at Swiggy on 13/06/2025. Ref 4X1ZHQIMQO.",18270.4
VM-INDUSB-I,IndusInd Bank,"Rs.109.33 debited from IndusInd Bank A/c **8542 via IMPS on 13-07-25. Ref TRTM477Y6ZLED1. Avl bal: Rs. 2,5,375.50.",109.33
AD-BOBMSG-I,Bank of Baroda,"Dear Customer, Rs.231.86 paid from Bank of Baroda A/c **7025 via NEFT on 06/08/2025. Ref S30U7FRZUD.",231.86
VK-INDUSUPI-T,IndusInd Bank,"Rs.4,940.90 DR from IndusInd Bank A/c **7347 via IMPS on 14-Aug-2025. Ref OFE98WP94P4JWR3X. Avl bal: Rs. 8,2,849.80.",4940.9
AD-ICICIB-T,ICICI Bank,"Txn alert: ₹218.12 purchase on Card linked to ICICI Bank A/c **6514 at IRCTC on 26/07/2025. Ref 275989981514. Bal ₹ 19,3,764.21.",218.12
VM-HDFCBK,HDFC Bank,"INR3,2,679.81 CR to your HDFC Bank A/c **9543 on 08/06/2025. Ref 134205232011. Avl bal: INR 18,1,985.32.",32679.81
AD-IDFCFB,IDFC FIRST Bank,"ATM cash purchase: Rs.2,7,613.98 from A/c **4637 on 04-Aug-2025. Ref 866792122538.",27613.98
AD-BOBMSG,Bank of Baroda,"Tx Alert: Received alert! INR2,000.95 received to your Bank of Baroda A/c xxxx9639 on 21-Aug-2025 via UPI from VPA viprepaid@axl (Ref G1ZZROG0JRX2N7).",2000.95
AD-PNBSMS-I,Punjab National Bank,"Rs.411.11 added to Punjab National Bank A/c XX4966 on 13-Jul-2025 via NEFT. Ref 679223510782. Avl bal: Rs. 12,0,609.23.",411.11
VK-AXISUPI-T,Axis Bank,"INR3,837.49 CR to Axis Bank A/c **8871 on 18/07/2025 via NEFT. Ref 643694600564. Avail bal INR16,2,791.97.",3837.49
AD-ICICIB,ICICI Bank,"₹4,825.57 CR to ICICI Bank A/c XX*1448 on 21-Aug-2025 via NEFT. Ref 516901971065.",4825.57
VM-IDFCUPI-S,IDFC FIRST Bank,"Txn alert: INR3,8,791.66 DR on Card linked to IDFC FIRST Bank A/c XX*9404 at HP Fuel on 10/06/2025. Ref DQA4SVKXB3. Avl bal: INR 3,2,562.91.",38791.66
VK-ICICIB-S,ICICI Bank,"INR3,8,129.63 DR from ICICI Bank A/c XX*8091 via IMPS on 28-07-25. Ref 7GU0ENV5SN961J88.",38129.63
BZ-BOBMSG-T,Bank of Baroda,"Rs.1,277.00 CR to Bank of Baroda A/c XX5047 on 25-06-25 via NEFT. Ref 682410976522. Avl bal: Rs. 6,351.53.",1277
AD-YESBNK-S,YES Bank,INR495.69 CR to your YES Bank A/c **1613 on 13-Jul-2025. Ref CQ97RCQ6W948JU63.,495.69
TM-SBIINB-I,State Bank of India,"₹217.86 credited to your State Bank of India A/c xxxx2678 on 11-Aug-2025. Ref 972687604995. Avl bal: ₹ 18,3,248.22.",217.86
VM-ICICIB-I,ICICI Bank,"INR1,434.36 credited to your ICICI Bank A/c XX2964 on 17-08-25. Ref 433659064917. Bal INR 5,0,019.65.",1434.36
VK-PNBUPI-T,Punjab National Bank,"₹2,6,111.42 paid from Punjab National Bank A/c XX2899 via IMPS on 19/06/2025. Ref KLYRSOAVA6FBF4. Avl bal: ₹ 17,7,745.37.",26111.42
AD-ICICIB-T,ICICI Bank,"₹3,1,373.61 DR from ICICI Bank A/c XX1251 via NETBANK on 08-07-25. Ref K36M8JVH7UJODC.",31373.61
AD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: ₹51.21 received to your IDFC FIRST Bank A/c **1908 on 30/07/2025. Ref 756705106313. Bal ₹ 14,1,729.77.",51.21
AD-SBIUPI-T,State Bank of India,"Txn alert: INR919.07 purchase on Card linked to State Bank of India A/c XX7208 at Tata Sky on 07-Jul-2025. Ref TKEZJSSZWD0W9RY7. Bal INR 19,9,007.35.",919.07
AD-IDFCFB-S,IDFC FIRST Bank,"Tx Alert: INR3,704.48 paid from IDFC FIRST Bank A/c xxxx6496 via CHEQUE on 18/07/2025. Ref 577771857782.",3704.48
VK-YESUPI,YES Bank,"₹387.42 CR to your YES Bank A/c xxxx8432 on 16-06-25. Ref GA2SDFC8IO3TD3AB. Avl bal: ₹ 9,0,793.57.",387.42
TM-SBIINB-I,State Bank of India,"Tx Alert: ₹3,583.88 DR from State Bank of India A/c **7721 via NEFT on 10/07/2025. Ref W4JKFYIIFA. Avail bal ₹18,1,178.30.",3583.88
AD-SBIUPI-I,State Bank of India,"SBI Alert: INR3,584.18 DR from State Bank of India A/c XX3560 via CHEQUE on 19-Jul-2025. Ref 750664743909. Avl bal: INR 6,115.32.",3584.18
BP-KOTAKUPI-S,Kotak Mahindra Bank,"Txn alert: ₹2,7,253.93 debited on Card linked to Kotak Mahindra Bank A/c XX*8085 at Swiggy on 06-Jul-2025. Ref 408249569141. Bal ₹ 16,7,341.10.",27253.93
BP-KOTAKUPI-I,Kotak Mahindra Bank,INR192.44 received to Kotak Mahindra Bank A/c **7652 on 11-08-25 via NEFT. Ref GNJZM3618LEU6ZU.,192.44
TM-SBIINB,State Bank of India,"₹1,2,225.08 credited to your State Bank of India A/c XX4962 on 02-06-25. Ref 940001687953.",12225.08
AD-SBIUPI-I,State Bank of India,"₹2,544.77 added to your State Bank of India A/c **7303 on 01/06/2025. Ref 763249344817.",2544.77
AX-AXISBK-S,Axis Bank,"AXIS Alert: INR233.28 received to your Axis Bank A/c **4633 on 25-07-25. Ref 658609243544. Bal INR 5,6,470.91.",233.28
VK-ICICIB-I,ICICI Bank,"₹9,419.11 added to your ICICI Bank A/c **8982 on 01/07/2025. Ref 820142730930.",9419.11
AD-AXISBK-T,Axis Bank,"Rs.3,5,612.68 paid from Axis Bank A/c XX5640 via NETBANK on 15/06/2025. Ref 4DA7D0WTWS3Y4H1T.",35612.68
BP-KOTAKUPI-I,Kotak Mahindra Bank,"Tx Alert: Rs.209.75 CR to your Kotak Mahindra Bank A/c xxxx4504 on 25/06/2025. Ref JFPPZJE6XG541MPW. Avail bal Rs.7,2,517.78.",209.75
AD-BOBMSG-S,Bank of Baroda,"INR1,960.58 CR to Bank of Baroda A/c XX*4749 on 20-08-25 via NEFT. Ref 286455494514.",1960.58
AD-ICICIB-I,ICICI Bank,"INR2,488.37 added to ICICI Bank A/c **3551 on 18/06/2025 via NEFT. Ref 995600823707.",2488.37
VK-BOBUPI-I,Bank of Baroda,"ATM cash DR: ₹9,204.09 from A/c **4870 on 22-Jun-2025. Ref L72V08KTRPW3HHI. Avl bal: ₹ 7,1,914.70.",9204.09
VK-BOBUPI,Bank of Baroda,"INR1,1,086.50 debited from Bank of Baroda A/c **5297 via NEFT on 29-Jul-2025. Ref 942672716571. Avail bal INR2,2,866.72.",11086.5
TM-SBIINB,State Bank of India,"INR4,6,980.22 spent from State Bank of India A/c **7397 via CHEQUE on 01-Jun-2025. Ref 733040943638. Avl bal: INR 16,8,887.81.",46980.22
BZ-HDFCBK-I,HDFC Bank,"Tx Alert: Txn alert: ₹2,390.26 paid on Card linked to HDFC Bank A/c XX*6934 at JioMart on 28/07/2025. Ref GSXW71Q3VLI7K. Bal ₹ 9,9,114.15.",2390.26
AD-IDFCFB,IDFC FIRST Bank,"Tx Alert: ATM cash debited: INR477.79 from A/c XX*5562 on 18-06-25. Ref FULZ2ADS83GYZI. Bal INR 1,3,649.26.",477.79
VK-ICICIB-S,ICICI Bank,Txn alert: ₹100.64 debited on Card linked to ICICI Bank A/c **6254 at HP Fuel on 10/07/2025. Ref 946212524854.,100.64
JD-IDFCFB-S,IDFC FIRST Bank,"Tx Alert: ATM cash spent: ₹8,292.33 from A/c XX6265 on 20-08-25. Ref 296596348342.",8292.33
AD-BOBMSG,Bank of Baroda,"₹2,1,962.99 purchase from Bank of Baroda A/c xxxx3528 via NETBANK on 01-Aug-2025. Ref 708818037922.",21962.99
VM-ICICIB-I,ICICI Bank,"INR336.75 credited to ICICI Bank A/c xxxx8126 on 12/07/2025 via IMPS. Ref 532936211675. Avl bal: INR 4,0,941.17.",336.75
VK-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.127.84 spent from Kotak Mahindra Bank A/c **6098 via NETBANK on 30-Jul-2025. Ref 474167735006. Avail bal Rs.18,3,643.21.",127.84
VM-IDFCUPI-S,IDFC FIRST Bank,"₹3,687.34 DR from IDFC FIRST Bank A/c xxxx1459 via UPI to Zomato (zomato@ibl) on 07-07-25. Ref CAO8W81AYUAM75PS.",3687.34
VM-INDUSB,IndusInd Bank,"Rs.2,2,300.33 received to your IndusInd Bank A/c **7265 on 19/06/2025. Ref OQOPYCWEU97Z.",22300.33
VM-INDUSB,IndusInd Bank,"Tx Alert: ₹2,205.05 paid from IndusInd Bank A/c **2069 via CHEQUE on 18-Jun-2025. Ref 537286222451.",2205.05
AD-PNBSMS-S,Punjab National Bank,"₹4,287.74 received to your Punjab National Bank A/c XX*9825 on 03/06/2025. Ref 632156730386. Avail bal ₹5,6,021.64.",4287.74
AD-SBIUPI-T,State Bank of India,"Rs.3,963.75 DR from State Bank of India A/c XX1357 via NEFT on 27/07/2025. Ref 912403467467.",3963.75
BP-YESBNK-S,YES Bank,"Txn alert: INR3,0,309.59 purchase on Card linked to YES Bank A/c XX2249 at PhonePe on 23-07-25. Ref 353991462687. Avl bal: INR 14,7,853.77.",30309.59
AD-IDFCFB,IDFC FIRST Bank,"Dear Customer, Txn alert: ₹1,2,175.51 purchase on Card linked to IDFC FIRST Bank A/c XX3994 at PhonePe on 14/06/2025. Ref 459770769252.",12175.51
VK-YESUPI-I,YES Bank,"₹3,597.94 DR from YES Bank A/c **7399 via NEFT on 18-06-25. Ref 581983659434. Avail bal ₹19,7,305.38.",3597.94
BP-YESBNK,YES Bank,"INR1,428.59 CR to YES Bank A/c XX*6363 on 01/06/2025 via IMPS. Ref 17RV2Y7CDABBAJ. Avail bal INR7,3,925.93.",1428.59
JD-IDFCFB-I,IDFC FIRST Bank,"Credited alert! Rs.4,876.00 credited to your IDFC FIRST Bank A/c XX5401 on 21/07/2025 via UPI from VPA irctc@okaxis (Ref 812556493794).",4876
BP-KOTAKUPI-S,Kotak Mahindra Bank,"Txn alert: Rs.404.86 debited on Card linked to Kotak Mahindra Bank A/c XX*6670 at BPCL on 24-08-25. Ref 101978209240. Avail bal Rs.3,7,326.43.",404.86
JD-IDFCFB,IDFC FIRST Bank,"Dear Customer, Rs.198.96 added to your IDFC FIRST Bank A/c XX*1652 on 21-07-25. Ref MA1T6SIF6D.",198.96
VM-INDUSB-T,IndusInd Bank,"Tx Alert: ₹3,425.71 spent from IndusInd Bank A/c **5085 via NETBANK on 03-07-25. Ref 512669935942.",3425.71
VK-YESUPI-I,YES Bank,"₹2,530.81 DR from YES Bank A/c XX2257 via IMPS on 08-Jul-2025. Ref 864660871397.",2530.81
AX-AXISBK,Axis Bank,"ATM cash paid: Rs.2,1,790.00 from A/c **9900 on 17-Jun-2025. Ref 533126437988.",21790
JD-IDFCFB-T,IDFC FIRST Bank,"ATM cash DR: INR4,844.12 from A/c XX*2095 on 11-06-25. Ref 723418092578.",4844.12
BP-YESBNK-T,YES Bank,"Txn alert: INR2,9,911.33 purchase on Card linked to YES Bank A/c XX6582 at Swiggy on 04-07-25. Ref 2WITPBD7X9.",29911.33
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: ₹686.88 purchase from Bank of Baroda A/c **1137 via UPI to Amazon (amazon@ibl) on 22-Aug-2025. Ref 682959922746. Avl bal: ₹ 2,098.85.",686.88
VM-HDFCBK-T,HDFC Bank,"Rs.7,779.11 credited to your HDFC Bank A/c xxxx9281 on 12/07/2025. Ref 281032237529.",7779.11
VK-INDUSUPI,IndusInd Bank,"INR439.80 purchase from IndusInd Bank A/c XX4568 via IMPS on 06-08-25. Ref 701373476925. Avl bal: INR 11,8,951.87.",439.8
AX-AXISBK-I,Axis Bank,"INR272.76 credited to your Axis Bank A/c XX*3711 on 29-Jun-2025. Ref UOVHAUVA7SSZJ. Avail bal INR9,599.69.",272.76
AD-INDUSB-I,IndusInd Bank,"Rs.1,1,884.58 purchase from IndusInd Bank A/c XX*2469 via NETBANK on 30-07-25. Ref 169948036562. Avail bal Rs.6,4,048.12.",11884.58
